ID,Prioridade,Cenario,Onde executar,Resultado esperado,Status,Evidencia,Observacao
T01,Critico,Login admin e acesso ao painel master,PC1,Entra no admin sem erro,,,
T02,Critico,Cadastro Empresa A e Empresa B no master,PC1,Duas empresas criadas com tenants diferentes,,,
T03,Critico,Selecionar Empresa A e abrir painel da empresa,PC1,Tenant ativo da Empresa A,,,
T04,Critico,Cadastro de obras da Empresa A (Base 1 e Base 2),PC1,Obras criadas com cidade/estado corretos,,,
T05,Critico,Cadastro de usuarios operacionais por base,PC1,Usuario com permissao por base salva corretamente,,,
T06,Critico,PC1 lanca entrada diesel na Base 1 (Empresa A),PC1,Estoque Base 1 aumenta,,,
T07,Critico,PC2 lanca entrada diesel na Base 2 (Empresa A),PC2,Estoque Base 2 aumenta,,,
T08,Critico,Validar cruzamento de estoque Base 1 x Base 2,PC1 + PC2,Nao cruza saldo entre bases,,,
T09,Critico,PC1 abastece equipamento na Base 1,PC1,Debita apenas Base 1,,,
T10,Critico,PC2 abastece equipamento na Base 2,PC2,Debita apenas Base 2,,,
T11,Critico,Validar relatorio de abastecimento por base,PC1,Mostra so dados da base selecionada,,,
T12,Alto,Almoxarifado entrada de ferramenta Base 1,PC1,Entrada registrada no estoque correto,,,
T13,Alto,Almoxarifado retirada de ferramenta Base 1,PC1,Baixa correta + pendencia correta,,,
T14,Alto,Almoxarifado entrada/saida de insumo Base 2,PC2,Movimentacao correta na Base 2,,,
T15,Alto,Relatorio de estoque atual (ferramenta/insumo),PC1,Quantidades batendo com movimentos,,,
T16,Alto,Filtro historico de insumo por funcionario e periodo,PC1,Retorna apenas o filtro selecionado,,,
T17,Alto,EPI entrega e devolucao,PC1,Fluxo completo sem erro,,,
T18,Alto,Manutencao: abrir ordem e gerar relatorio,PC1,Registro salvo e PDF gerado,,,
T19,Alto,Producao de campo/croqui e consulta,PC2,Registro e consulta sem falha,,,
T20,Critico,Trocar para Empresa B e repetir lancamentos basicos,PC2,Dados totalmente separados da Empresa A,,,
T21,Critico,Validar que Empresa A nao enxerga Empresa B,PC1,Isolamento total por tenant,,,
T22,Critico,Validar que Empresa B nao enxerga Empresa A,PC2,Isolamento total por tenant,,,
T23,Medio,Teste de concorrencia (mesma base, PC1 e PC2 simultaneo),PC1 + PC2,Sem sobrescrita indevida de saldo,,,
T24,Medio,Historico de operacoes (texto legivel e colunas corretas),PC1,Sem caracteres quebrados e sem quebra feia,,,
T25,Medio,Botoes Voltar alinhados (operacional/admin),PC1,Alinhamento consistente no topo,,,
T26,Alto,PDF de relatorios (logo, dados, filtros),PC1,PDF completo sem erro,,,
T27,Critico,Logout e novo login mantendo isolamento de dados,PC1 + PC2,Sessao limpa e dados corretos por tenant,,,
